Key;English;;;;;;;;;;;;;
EVTDESC90005;虽然我们只想通过将它们添加到我们的影响范围来帮助$CB_TARGET_NAME$，但他们已经非常了解它。虽然对所有参与者不合时宜，但他们的行为却反而强烈要求国际舆论强烈要求他们加入我们的繁荣之中。;;;;;;;;;;;;;
EVTNAME4661019;维持现状;;;;;;;;;;;;;
EVTDESC4661019;最新的战争以现状结束，恩特雷里奥斯是自由的。 布宜诺斯艾利斯在支配阿根廷联邦方面没有任何障碍。;;;;;;;;;;;;;
EVTOPT4661019A;布宜诺斯艾利斯的霸权开始了。;;;;;;;;;;;;;
EVTNAME600074;乌拉圭被击败;;;;;;;;;;;;;
EVTDESC600074;里维拉总统失去了他开始的战争，我们现在能够在乌拉圭政府中扶植真正的总统奥里韦。;;;;;;;;;;;;;
EVTOPT600074A;扶植奥里韦为总统，但不再干涉。;;;;;;;;;;;;;
EVTOPT600074B;扶植奥里韦为总统，并确保他能坐稳位子;;;;;;;;;;;;;
EVTOPT600074C;扶植奥里韦为总统，并控制乌拉圭。;;;;;;;;;;;;;
EVTOPT600074D;不干涉乌拉圭。;;;;;;;;;;;;;
EVTNAME600075;罗萨斯被击败;;;;;;;;;;;;;
EVTDESC600075;罗萨斯被击败并逃离阿根廷到英国。奥里韦失去了对总统职位的所有要求，也逃离了这个国家，但这并不能阻止布兰科党的麻烦。;;;;;;;;;;;;;
EVTOPT600075A;帮助统一派组建阿根廷;;;;;;;;;;;;;
EVTOPT600075B;不过多干涉。;;;;;;;;;;;;;
EVTNAME600076;The Armistice of $YEAR$;;;;;;;;;;;;;
EVTDESC600076;乌拉圭和阿根廷同意停战和和平谈判，以维持现状。 我们推翻罗萨斯的战争没有成功。;;;;;;;;;;;;;
EVTOPT600076A;该死。.;;;;;;;;;;;;;
EVTNAME45103;多米尼加独立;;;;;;;;;;;;;
EVTDESC45103;三位一体社取得了胜利，我们的独立现已完成。我们保持独立足够让世界承认我们是一个主权国家！;;;;;;;;;;;;;
EVT45103OPTA;多米尼加共和国万岁！;;;;;;;;;;;;;
EVTNAME203770;奴隶人口增长;;;;;;;;;;;;;
EVTDESC203770;尽管奴隶贸易现在被禁止了一段时间，这是英国压力的直接结果，但我国的奴隶人口增长，不是通过贸易而是通过人口增长。;;;;;;;;;;;;;
EVTOPTA203770;很好，很好。;;;;;;;;;;;;;
EVTNAME600050;波兰起义;;;;;;;;;;;;;
EVTDESC600050;当波兰起义于1846年初在加利西亚（奥属波兰）和克拉科夫爆发时，许多奥地利人认为克拉科夫的独立地位提供了刺激以及波兰起义计划的论坛。但是，我们仍受“维也纳条约”和克拉科夫与普鲁士和俄罗斯政府的约束。;;;;;;;;;;;;;
EVT600050OPTA;组织外交使团开始对话。;;;;;;;;;;;;;
EVT600050OPTB;我们不关心普鲁士和俄罗斯对此事的同意，我们现在必须采取行动。;;;;;;;;;;;;;
EVT600050OPTC;无视叛军，他们是无害的。;;;;;;;;;;;;;
EVTNAME600051;克拉科夫起义;;;;;;;;;;;;;
EVTDESC600051;我们伟大城市的波兰贵族和学者正在开始一场伟大的革命，以恢复波兰并在我们的土地上结束农奴制。 这种民主运动正在积聚动力，并可能随时在波兰占领的土地上爆发。;;;;;;;;;;;;;
EVT600051OPTA;让革命者占领这座城市。统一波兰！;;;;;;;;;;;;;
EVT600051OPTB;抑制革命者以防奥地利人报复。;;;;;;;;;;;;;
EVTNAME600052;波兰问题;;;;;;;;;;;;;
EVTDESC600052;一场波兰革命开始于克拉科夫，它有可能在我们这个伟大国家像野火一样蔓延。奥地利要求我们同意镇压克拉科夫，认为自由城市是波兰民族主义和叛乱的焦点，镇压城市可以结束未来的波兰叛乱。我们的外交官们担心，如果我们不支持奥地利人，这种反叛可能会增加。我们应该怎么告诉奥地利特使？;;;;;;;;;;;;;
EVT600052OPTA;让奥地利人知道他们在这件事上得到了我们的支持。;;;;;;;;;;;;;
EVT600052OPTB;需要维护维也纳条约。 我们不支持奥地利人。;;;;;;;;;;;;;
EVTNAME600054;克拉科夫的命运;;;;;;;;;;;;;
